#              p[0],               p[1],             energy,           variance,              error,       elapsed time,   acceptance ratio 
 4.000000000000e-01, 2.800000000000e+00, 2.695089439774e+01, 2.251150485300e+00, 1.500383446090e-02, 1.365092010000e-01, 9.307000000000e-01
 1.000000000000e+00, 2.863612458885e+00, 3.668533452354e+01, 5.406185988030e+01, 7.352677055352e-02, 1.340636640000e-01, 7.366000000000e-01
 4.795879092894e-01, 2.808437971012e+00, 2.666547687581e+01, 2.173748496529e-01, 4.662347580918e-03, 1.635464290000e-01, 9.149000000000e-01
 4.794289222338e-01, 2.810257984247e+00, 2.671689993957e+01, 2.390681185086e-01, 4.889459259556e-03, 1.461985840000e-01, 9.183000000000e-01
 4.795863194188e-01, 2.808456171145e+00, 2.666170447424e+01, 2.253271866220e-01, 4.746864087184e-03, 1.380994860000e-01, 9.148000000000e-01
 4.839263282879e-01, 2.830711431388e+00, 2.665112658947e+01, 1.831337485556e-01, 4.279412910150e-03, 1.355175420000e-01, 9.116000000000e-01
 4.840981149043e-01, 2.831852760532e+00, 2.666125670726e+01, 1.741901558038e-01, 4.173609418762e-03, 1.476541120000e-01, 9.151000000000e-01
 4.839280461541e-01, 2.830722844679e+00, 2.667491470442e+01, 2.085071202535e-01, 4.566257989356e-03, 1.380188660000e-01, 9.131000000000e-01
 4.839263454666e-01, 2.830711545521e+00, 2.670967610415e+01, 2.134391007306e-01, 4.619946977299e-03, 1.429730420000e-01, 9.045000000000e-01
 4.839263284597e-01, 2.830711432529e+00, 2.669580736411e+01, 4.792667811375e-01, 6.922909656622e-03, 1.411954440000e-01, 9.070000000000e-01
 4.839263282897e-01, 2.830711431399e+00, 2.669435642332e+01, 2.099247092221e-01, 4.581754131575e-03, 1.407939160000e-01, 9.140000000000e-01
 1.000000000000e-03, 2.931815878451e+00, 4.000806563220e+03, 1.102634548728e+06, 1.050064068868e+01, 1.346722660000e-01, 1.000000000000e+00
 1.631951210677e-01, 2.897859046795e+00, 4.427988393667e+01, 9.756823952796e+01, 9.877663667485e-02, 1.352864000000e-01, 9.771000000000e-01
 3.781107028491e-01, 2.852864769639e+00, 2.746421481739e+01, 3.387236749451e+00, 1.840444715130e-02, 1.368469860000e-01, 9.341000000000e-01
 4.788436446230e-01, 2.831775531420e+00, 2.666992041266e+01, 1.788154845657e-01, 4.228657997116e-03, 1.386374860000e-01, 9.137000000000e-01
 4.837734653042e-01, 2.830743434463e+00, 2.666186438910e+01, 1.686547814604e-01, 4.106760054598e-03, 1.360941290000e-01, 9.074000000000e-01
 4.839247996581e-01, 2.830711751419e+00, 2.666471992274e+01, 1.697313360543e-01, 4.119846308472e-03, 1.338007030000e-01, 9.101000000000e-01
 4.839263130016e-01, 2.830711434588e+00, 2.667149067613e+01, 1.817299503682e-01, 4.262979596106e-03, 1.356853070000e-01, 9.086000000000e-01
 4.839263281351e-01, 2.830711431420e+00, 2.663711089701e+01, 2.211462320323e-01, 4.702618760141e-03, 1.352014800000e-01, 9.123000000000e-01
 1.000000000000e-03, 2.919517971536e+00, 4.001390976542e+03, 1.313118902020e+06, 1.145914002890e+01, 1.359616080000e-01, 1.000000000000e+00
 1.635454070123e-01, 2.889627086804e+00, 4.217789582671e+01, 9.061675571247e+01, 9.519283361287e-02, 1.425378710000e-01, 9.776000000000e-01
 3.649288270061e-01, 2.852594181939e+00, 2.756959456746e+01, 4.243594144791e+00, 2.059998578832e-02, 1.371669740000e-01, 9.369000000000e-01
 4.778317782934e-01, 2.831832173557e+00, 2.666317606943e+01, 1.930796561938e-01, 4.394083023724e-03, 1.359021050000e-01, 9.149000000000e-01
 4.837506209673e-01, 2.830743742654e+00, 2.665125146889e+01, 2.091999509077e-01, 4.573838113747e-03, 1.424138490000e-01, 9.067000000000e-01
 4.839245710634e-01, 2.830711754532e+00, 2.664492792866e+01, 1.914034053254e-01, 4.374967489312e-03, 1.399848140000e-01, 9.112000000000e-01
 4.839263105644e-01, 2.830711434651e+00, 2.669147375155e+01, 1.976827819977e-01, 4.446153191217e-03, 1.391797700000e-01, 9.094000000000e-01
 4.839263279594e-01, 2.830711431452e+00, 2.666385242563e+01, 1.763239792899e-01, 4.199094894021e-03, 1.361811050000e-01, 9.094000000000e-01
 4.839263281333e-01, 2.830711431420e+00, 2.664282137360e+01, 1.680898882584e-01, 4.099876684224e-03, 1.348670220000e-01, 9.104000000000e-01
 4.839263281351e-01, 2.830711431420e+00, 2.668108931283e+01, 2.068139177593e-01, 4.547679823375e-03, 1.346231040000e-01, 9.052000000000e-01
 4.839263281351e-01, 2.830711431420e+00, 2.666102382000e+01, 1.562362226866e-01, 3.952672800607e-03, 1.349891240000e-01, 9.106000000000e-01
